DATE,DCOILBRENTEU
2010-01-04,79.05
2010-01-05,79.27
2010-01-06,80.14
2010-01-07,80.57
2010-01-08,80.06
2010-01-11,80.14
2010-01-12,79.38
2010-01-13,77.57
2010-01-14,77.61
2010-01-15,76.85
2010-01-18,.
2010-01-19,75.18
2010-01-20,75.09
2010-01-21,74.13
2010-01-22,72.73
2010-01-25,72.18
2010-01-26,72.63
2010-01-27,72.75
2010-01-28,70.65
2010-01-29,71.20
2010-02-01,71.58
2010-02-02,73.94
2010-02-03,75.77
2010-02-04,71.30
2010-02-05,70.11
2010-02-08,69.62
2010-02-09,70.40
2010-02-10,70.40
2010-02-11,72.35
2010-02-12,71.49
2010-02-15,.
2010-02-16,74.82
2010-02-17,74.89
2010-02-18,76.61
2010-02-19,76.88
2010-02-22,76.95
2010-02-23,76.44
2010-02-24,77.00
2010-02-25,74.38
2010-02-26,76.36
2010-03-01,76.07
2010-03-02,77.50
2010-03-03,78.66
2010-03-04,77.88
2010-03-05,79.20
2010-03-08,78.94
2010-03-09,78.77
2010-03-10,80.29
2010-03-11,79.44
2010-03-12,79.38
2010-03-15,77.08
2010-03-16,79.45
2010-03-17,80.28
2010-03-18,80.09
2010-03-19,78.37
2010-03-22,78.09
2010-03-23,79.17
2010-03-24,78.03
2010-03-25,78.64
2010-03-26,77.98
2010-03-29,79.89
2010-03-30,79.46
2010-03-31,80.37
2010-04-01,82.63
2010-04-02,.
2010-04-05,84.48
2010-04-06,85.05
2010-04-07,84.49
2010-04-08,82.63
2010-04-09,82.77
2010-04-12,85.21
2010-04-13,83.44
2010-04-14,85.81
2010-04-15,86.90
2010-04-16,84.81
2010-04-19,83.09
2010-04-20,84.73
2010-04-21,84.55
2010-04-22,84.58
2010-04-23,86.09
2010-04-26,86.72
2010-04-27,85.59
2010-04-28,84.59
2010-04-29,86.82
2010-04-30,86.19
2010-05-03,88.09
2010-05-04,85.39
2010-05-05,82.31
2010-05-06,80.21
2010-05-07,76.48
2010-05-10,78.08
2010-05-11,79.00
2010-05-12,78.70
2010-05-13,79.41
2010-05-14,76.43
2010-05-17,73.87
2010-05-18,75.12
2010-05-19,71.86
2010-05-20,69.56
2010-05-21,70.45
2010-05-24,69.62
2010-05-25,67.18
2010-05-26,70.59
2010-05-27,73.56
2010-05-28,73.00
2010-05-31,.
2010-06-01,73.08
2010-06-02,72.78
2010-06-03,73.12
2010-06-04,71.84
2010-06-07,71.09
2010-06-08,71.43
2010-06-09,73.68
2010-06-10,74.33
2010-06-11,73.28
2010-06-14,75.11
2010-06-15,75.29
2010-06-16,76.12
2010-06-17,77.52
2010-06-18,77.05
2010-06-21,78.53
2010-06-22,78.08
2010-06-23,75.22
2010-06-24,75.17
2010-06-25,76.21
2010-06-28,76.66
2010-06-29,74.21
2010-06-30,74.94
2010-07-01,71.73
2010-07-02,71.75
2010-07-05,.
2010-07-06,73.08
2010-07-07,72.97
2010-07-08,74.56
2010-07-09,75.20
2010-07-12,74.35
2010-07-13,76.45
2010-07-14,76.63
2010-07-15,75.52
2010-07-16,75.55
2010-07-19,76.29
2010-07-20,76.31
2010-07-21,75.75
2010-07-22,77.59
2010-07-23,77.27
2010-07-26,77.90
2010-07-27,75.52
2010-07-28,76.66
2010-07-29,78.60
2010-07-30,77.50
2010-08-02,81.93
2010-08-03,83.60
2010-08-04,83.76
2010-08-05,82.90
2010-08-06,81.28
2010-08-09,81.54
2010-08-10,79.89
2010-08-11,77.83
2010-08-12,76.63
2010-08-13,75.14
2010-08-16,74.56
2010-08-17,76.74
2010-08-18,75.10
2010-08-19,74.84
2010-08-20,73.48
2010-08-23,73.08
2010-08-24,70.61
2010-08-25,70.74
2010-08-26,74.50
2010-08-27,75.16
2010-08-30,76.05
2010-08-31,75.51
2010-09-01,75.53
2010-09-02,74.93
2010-09-03,75.03
2010-09-06,.
2010-09-07,75.78
2010-09-08,77.48
2010-09-09,77.87
2010-09-10,77.54
2010-09-13,78.52
2010-09-14,78.89
2010-09-15,78.46
2010-09-16,78.89
2010-09-17,77.43
2010-09-20,79.42
2010-09-21,78.76
2010-09-22,77.29
2010-09-23,77.69
2010-09-24,78.73
2010-09-27,77.71
2010-09-28,79.14
2010-09-29,78.79
2010-09-30,80.77
2010-10-01,82.69
2010-10-04,83.42
2010-10-05,83.35
2010-10-06,85.01
2010-10-07,83.67
2010-10-08,83.88
2010-10-11,83.08
2010-10-12,82.99
2010-10-13,84.01
2010-10-14,83.55
2010-10-15,81.94
2010-10-18,82.30
2010-10-19,81.12
2010-10-20,81.68
2010-10-21,81.28
2010-10-22,80.75
2010-10-25,81.91
2010-10-26,82.62
2010-10-27,81.27
2010-10-28,82.97
2010-10-29,82.47
2010-11-01,84.06
2010-11-02,84.71
2010-11-03,85.33
2010-11-04,86.83
2010-11-05,87.05
2010-11-08,87.15
2010-11-09,87.93
2010-11-10,87.92
2010-11-11,88.08
2010-11-12,86.07
2010-11-15,85.49
2010-11-16,83.98
2010-11-17,83.36
2010-11-18,83.70
2010-11-19,83.17
2010-11-22,82.34
2010-11-23,82.37
2010-11-24,84.53
2010-11-25,.
2010-11-26,84.78
2010-11-29,85.90
2010-11-30,86.02
2010-12-01,88.56
2010-12-02,89.37
2010-12-03,90.65
2010-12-06,91.25
2010-12-07,90.78
2010-12-08,89.74
2010-12-09,89.93
2010-12-10,89.54
2010-12-13,90.40
2010-12-14,90.63
2010-12-15,91.33
2010-12-16,91.09
2010-12-17,91.11
2010-12-20,91.31
2010-12-21,93.11
2010-12-22,93.55
2010-12-23,93.63
2010-12-24,.
2010-12-27,93.08
2010-12-28,93.52
2010-12-29,93.52
2010-12-30,92.50
2010-12-31,93.23
2011-01-03,95.82
2011-01-04,93.52
2011-01-05,95.07
2011-01-06,94.95
2011-01-07,94.25
2011-01-10,95.05
2011-01-11,96.80
2011-01-12,97.86
2011-01-13,97.86
2011-01-14,97.86
2011-01-17,.
2011-01-18,97.83
2011-01-19,98.42
2011-01-20,96.27
2011-01-21,96.84
2011-01-24,96.76
2011-01-25,96.76
2011-01-26,96.04
2011-01-27,96.48
2011-01-28,97.06
2011-01-31,98.97
2011-02-01,100.40
2011-02-02,101.30
2011-02-03,101.69
2011-02-04,99.43
2011-02-07,99.44
2011-02-08,99.25
2011-02-09,100.16
2011-02-10,100.74
2011-02-11,99.93
2011-02-14,103.12
2011-02-15,102.48
2011-02-16,102.78
2011-02-17,103.45
2011-02-18,102.20
2011-02-21,.
2011-02-22,106.82
2011-02-23,109.77
2011-02-24,113.91
2011-02-25,111.47
2011-02-28,112.27
2011-03-01,113.34
2011-03-02,116.89
2011-03-03,114.42
2011-03-04,115.71
2011-03-07,116.58
2011-03-08,112.32
2011-03-09,115.19
2011-03-10,114.07
2011-03-11,114.07
2011-03-14,112.95
2011-03-15,111.11
2011-03-16,110.96
2011-03-17,114.18
2011-03-18,114.13
2011-03-21,114.92
2011-03-22,115.63
2011-03-23,115.65
2011-03-24,115.41
2011-03-25,115.45
2011-03-28,115.95
2011-03-29,115.58
2011-03-30,115.35
2011-03-31,116.94
2011-04-01,118.63
2011-04-04,120.07
2011-04-05,122.87
2011-04-06,123.01
2011-04-07,122.90
2011-04-08,126.30
2011-04-11,126.46
2011-04-12,121.33
2011-04-13,122.70
2011-04-14,122.74
